ID ,url,firstComment,latestComments/0/text,latestComments/1/text,latestComments/2/text,latestComments/3/text,latestComments/4/text,latestComments/5/text,latestComments/6/text,latestComments/7/text,latestComments/8/text
JDC COMMENTS,https://www.instagram.com/p/CnWm1DCsjOs/,,,El millor programa i  sobretot tots educats,Moltes gràcies a totes i tots!,El millor programa de la temporada l’hem disfrutat,"Ja era hora, heu esperat l ultim dia x prrdentsr unic programa amb criteri, cuina de veritat i gent sabia i educada.",Estalviarem i vindrem a menjar!!! ❤️❤️,❤️,A veure si heu aprés algo i canvieu una mica el taranná,
JDC COMMENTS,https://www.instagram.com/p/CnSrBC3MqFX/,THE BEST! Love you @sucatti,THE BEST! Love you @sucatti,Preneu nota,Programa interesante en contenido....pero hay que reconocer que si no se tiran de los pelos los unos a los otros es cansino y aburrido....uno de estos de vez en cuando bien....pero las gradas necesitan circo romano..... jajaja... jajaja,"El programa d ahir un dels millors de la temporada, aquest i el de la Boqueria els meus preferits. Comentaris constructius, sense anar a ferir o simplement gaudir de la bona cuina. Felicitats","Ets un crack!! Bon humor, humil i  sabiduría",,M'ha encantat,El millor Joc de Cartes ever! Felicitats!,
JDC COMMENTS,https://www.instagram.com/p/CnSrhA5Iycx/,Brava!,Brava!,,Bien por los restaurantes pero joder las chicas que pijerio,,Dels millors!❤️,"Joc de cartes, el programa de cuina, que maltracta brutalment ,cada setmana el pa, casi mai present a taula, una falta de respecte total, al mon del pa.",❤️❤️❤️❤️ Esa Carlota @lagormanda,"Avui,en molt de temps he pogut gaudir d'un programa de joc de cartes amb gran professionalitat,m'ha encantat!espero que la temporada que ve sigui amb aquest nivell!  la guanyadora, premi ben merescut! ✌️sublim!",Molt bon programa! Com es nota que els periodistes no es jugaven res ahir i per això van ser uns bons crítics amb coherència. En altres programes es lamentable el que fan alguns restauradors per guanyar 5000€…
JDC COMMENTS,https://www.instagram.com/p/CnkwBIBo3xp/,Cuando tenemos nueva temporada?,Cuando tenemos nueva temporada?,"Un equip brutal !! Vem tenir una experiencia boníssima, gracies a ells.",Voleu anar tant de moderns que la aplicació a cambiat del tot i els capitols no es veuen sencers.. Espero que milloreu aixo,Menudo tongo avui...,,Quant comença la nova temporada? @jocdecartestv3,Perqué no está ninguna temporada a internet,Quan torneuuuu,Espero que no tardeu!!! M'encanta el programa!!!!
JDC COMMENTS,https://www.instagram.com/p/CnjozxlIEdF/,Habla español anda,Habla español anda,Hem de tornar a veure la prepoten del nou cal cateri? O bé podeu suprimir la seva part? Gràcies,"Vaig a veure el intermedio. Avui amenacen punyals, no ho soporto",M’esperava algu millor per el final de temporada,Quan comença nova temporada?,@daavid.lm si...per tù,@daavid.lm torna a la cova  probablement parli millor el castellà que tu,,
JDC COMMENTS,https://www.instagram.com/p/CnhigO9I0vA/,A veure si la propera temporada podem veure un programa de restaurants sense gluten!,A veure si la propera temporada podem veure un programa de restaurants sense gluten!,Per què han desaparegut els capítols de Joc de Cartes de TV3 a la carta???,Torneo aviat,,Oooh ...,Ohhh noooo que torni ràpid el programa. Joc de cartes i el Foraster són lo millor!,@jocdecartestv3 quant treureu la nova temporada?,Mira @martinezveronicagonza,"Xao xao, quin descans, a veure quan s'acaba cuines"
JDC COMMENTS,https://www.instagram.com/p/CkLqtf5LKbb/,,,Perquè monteu una plataforma a  TV3 si no deixeu els capítols de jocs de carta per veure'ls :((,Enhorabona!!! ets el millor!!! bons programes de exquisita cuina i bons restaurants,Tornareu a tv3?,felicitats,Muy buenos programas los felicito ❤️❤️❤️❤️❤️❤️,,Felicitats!!!!!!,Enhorabona!!!
JDC COMMENTS,https://www.instagram.com/p/Cuoz3VGooJf/,"Marc sisplau, pots dir-li a la persona que decideix la música, que està posant una M de música. Fan ganas de no mirar el programa.","Marc sisplau, pots dir-li a la persona que decideix la música, que està posant una M de música. Fan ganas de no mirar el programa.",El Cristian de Can Portell es un fals acabat!!!! Persones aixi no haurien de poder participar. ETS UN FALS,Els concursants haurien de tenir RESPECTE per els seus companys. Es una pena veure  algunes de les puntuacions.,Com es pot comparar espais de bodas amb camping? No se,"On podem comentar el programa? Avui ha guanyat un lloc amb una cuina bruta, que ni de conya hi aniria.... La neteja hauria de tenir un plus",Que es un toc femeni????? Com es potvfer aquesta pregunta?????? El feminismo extrem es fent molt mal,"No sé a on ho d'escriure. Em sembla molt malament, que avui  29 de gener no facin el programa, joc de cartes.... Per culpa del futbol. Canviaré de canal","Estem tot el dia defenen que la gent respecti als altres.
En contra del buling.
Però en el vostre programa permeteu amb riures inclosos del presentador, riure de com cuinen altres fins al punt d'humiliació.
Seria bo fer un pensament.
Donar exemple és un 1er pas.",
JDC COMMENTS,https://www.instagram.com/p/CnSo92Ws5RD/,,,"M’agradat molt aquet programa com sempre el Marc fantàstic i els participants han set molt naturals, transparents i educats amb els comentaris que s’han fet els uns als altres. gràcies",Pijerio lo único que se escapa son los restaurantes que son los verdaderos protagonistas y el crítico uffffff,"bravo el @tramendurestaurant , és una joia al barri",@tramendurestaurant,La Gormanda,Únase a la cena o brunch de nuestra mesa de chefs. Este sábado cena de año nuevo chino. Nos quedan 4 plazas.,,
JDC COMMENTS,https://www.instagram.com/p/CnSlEFPsA9F/,Es una llàstima que primi els amiguets !! El concurs no ha sigut just de cap manera!!! Ja no tinc fe amb els integrants del concurs!! Es tongo total!!! Una llàstima !!!,Es una llàstima que primi els amiguets !! El concurs no ha sigut just de cap manera!!! Ja no tinc fe amb els integrants del concurs!! Es tongo total!!! Una llàstima !!!,El Tragaldabas es un restaurant estupendo. Fan uns plats molt elaborats i tot els condiments son frescos i molt escollits!!!,"Puré, puré? sopa de coco més aviat no?",De croquetes sens dubte,,"Puré de coco, nooooo",,,
JDC COMMENTS,https://www.instagram.com/p/CnSmwoTs1Fd/,"Yo personalmente en el Catalina seis adultos y dos niños sin postre ni vinos pagamos 750€. 
Y la comida dejó mucho que desear","Yo personalmente en el Catalina seis adultos y dos niños sin postre ni vinos pagamos 750€. 
Y la comida dejó mucho que desear",Los precios que os cobran en el programa no son los reales que cobran,"marc, dir o preguntar que era un chutney ho he trobat idiota (no recordo el testaurant in ho vas dir) es necesari fer el tonto?",Va estar molt bé el programa. Felicitats a tots.,@catalina.gavamar guanyador jajaja es menja brutal,Molt interesant,No entenc perqué li han posat una nota tan baixa a la cuina del catalina si han dit que era una pasada. I després a la valoració sent la nota més baixa el Marc no pregunta res als companys respecte a aquesta nota,Enhorabona pel programa ď air,❤️
JDC COMMENTS,https://www.instagram.com/p/CnZQyIns0Tw/,,,,Posant una fusta perquè arribi a la altura de la càmera,,@carlaammardo,,De los críticos gastronómicos este es el único que se escapa !! Que pijerio !!,Molt bona temporada !,Emosido engañado
JDC COMMENTS,https://www.instagram.com/p/CnOvALYKgDZ/,,,Ostras para ser críticos gastronómicos las opiniones son muy superficiales … me esperaba algo más objetivo origen del producto y saber definir mejor los platos !!,Em va encantarc,,"Aquesta vegada m’ha agradat molt el programa, moltes vegades he trobat moltes diferencies entre els restaurants i moltes estrategies ….. avui he vist un programa més gastronomic i més tranquil…","Ole!!! qui i hagi de tot a Barna, mola també sapiguer on menjar de guais i excepcionalment!!",Doncs aviam si avui és mes just i no hi ha tanta estratègia i mala llet,,
